,SMILES,True
53,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,0.37
54,Cc1ccc(CC[N+]23CCC(CC2)C(OC(=O)C2(C4=CC=CC4)CCCCCC2)C3)s1,0.01
55,CC(c1cc(C(=O)N2CCC(O)CC2)cc2c(=O)cc(N3CCOCC3)oc12)N(C)c1cc(F)cc(F)c1,0.17
56,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,0.0295
57,NC(C(=O)N1CCCC1C(=O)NCc1cc(Cl)ccc1OCC(=O)NC1CC1)C1CCCCC1,0.12
58,Cc1nc(-c2cccc3ccccc23)sc1C(=O)N1CCC(CO)CC1,0.005
59,CCOc1cc(C(c2cc3cc(C#N)ccc3cc2OC)C(O)(CCN(C)C)c2cccc3ccoc23)cc(OCC)n1,0.0
60,Cc1cc(C2CCN(C(=O)C3CN(C(C)(C)C)CC3c3ccc(F)cc3F)CC2)n(-c2cc(Cl)ccc2F)n1,0.14
61,CC1NC(=O)C(C(C)C)OC(=O)C2(C=Cc3ccc4ccc(nc4c3)C(C)NC(=O)C3CCCN(N3)C1=O)CCOCC2,0.28
62,COc1ccc(N=C(O)c2ccc(C(=N)N(C)C)cc2F)c(C(O)=Nc2ccc(Cl)cn2)c1,0.5
63,O=c1[nH]c(=O)n(C2CCCO2)cc1F,0.6285000000000001
64,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,0.01
65,Cc1ccccc1C1CC(N2CCOCC2)CCC1C(=O)N1CC(c2ccccc2)(c2ccccc2)C1,0.02
66,CC(C)CC(=O)Nc1cccc(NC(=O)c2ccccc2Br)c1,0.0699999999999999
67,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cc(Nc2ccncn2)c(=O)n(C)c1,0.01
68,CC(Nc1ncnc(N)c1C#N)c1nn2ccc(C#N)c2c(=O)n1-c1ccccc1,0.05
69,CC(NS1(=O)=NC(=O)c2ccccc21)c1ccccc1,0.014
70,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,0.05
71,CC(c1nc2c(cnn2C2CCOCC2)c(=O)[nH]1)N1CC(Oc2ccccc2)C1,0.2299999999999999
72,COc1cc(Cc2c[nH]c(=N)[nH]c2=N)c2c(c1OC)OC(C1CC1)C=C2,0.0699999999999999
73,CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1Cl)n1cncn1,0.019125
74,CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1cccnc1)C(=O)NC(CO)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCNC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(C)C(N)=O,0.14
75,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,0.75
